airline_name,sum,count,rate,ci_low,ci_high,p,p_adj,differs_from_average
Uzbekistan Airways,26,71,0.36619718309859156,0.2637022133397451,0.4824278020368876,0.803729674729264,0.8339956457441735,False
Peach Aviation,22,60,0.36666666666666664,0.25620916687225426,0.49316999369896963,0.7875228648043282,0.82061206080451,False
TAAG Angola Airlines,22,60,0.36666666666666664,0.25620916687225426,0.49316999369896963,0.7875228648043282,0.82061206080451,False
China Eastern Airlines,37,100,0.37,0.2818236053432453,0.46779470419057095,0.6756337405082358,0.7348998580966776,False
Thomas Cook Airlines,37,100,0.37,0.2818236053432453,0.46779470419057095,0.6756337405082358,0.7348998580966776,False
Cathay Pacific Airways,37,100,0.37,0.2818236053432453,0.46779470419057095,0.6756337405082358,0.7348998580966776,False
Shenzhen Airlines,13,35,0.37142857142857144,0.23165819503365714,0.5366306315640468,0.8595727532968901,0.8808844744530113,False
Air Niugini,17,45,0.37777777777777777,0.2510808467213791,0.5237006551911046,0.7548631601836207,0.7966215477682465,False
Gulf Air,38,100,0.38,0.29097599252478734,0.47790244704488927,0.5302202455101521,0.5949982845543789,False
Tunisair,26,66,0.3939393939393939,0.28503000494619546,0.5145159919960708,0.4416606988964201,0.5070919135477416,False
Eastern Airways,23,58,0.39655172413793105,0.28088757794874364,0.525067840489988,0.4915757325511015,0.5566702359482794,False
Virgin America,40,99,0.40404040404040403,0.31271856818224286,0.502531038174209,0.29169300777200163,0.34447555203550667,False
Emirates,41,100,0.41,0.3186731302113651,0.5079856994658921,0.20929296541248818,0.2595232771114854,False
Batik Air,41,100,0.41,0.3186731302113651,0.5079856994658921,0.20929296541248818,0.2595232771114854,False
Royal Air Maroc,41,100,0.41,0.3186731302113651,0.5079856994658921,0.20929296541248818,0.2595232771114854,False
bmi Regional,24,58,0.41379310344827586,0.29628026374083305,0.5420159182914434,0.335373953681659,0.3886576659488385,False
Air France,42,100,0.42,0.3279838267435473,0.5179351329695703,0.14298161134918144,0.18278061657008762,False
Air Moldova,16,38,0.42105263157894735,0.27852501157758713,0.5780765465632945,0.39561673332821784,0.4563393016995257,False
Sriwijaya Air,23,54,0.42592592592592593,0.30331824019929265,0.5583726617400994,0.2546429277956239,0.3065604179287123,False
Thai Airways,43,100,0.43,0.337332985241101,0.5278461045078768,0.09413599045439383,0.12619311152805227,False
South African Airways,43,100,0.43,0.337332985241101,0.5278461045078768,0.09413599045439383,0.12619311152805227,False
Bamboo Airways,16,37,0.43243243243243246,0.28671719277157304,0.5908581890983191,0.3035767305433391,0.3568105648092327,False
Nok Air,44,100,0.44,0.34672026630160796,0.5377189534832303,0.05969598296917503,0.085083929749169,False
Fiji Airways,44,100,0.44,0.34672026630160796,0.5377189534832303,0.05969598296917503,0.085083929749169,False
Arkefly,15,34,0.4411764705882353,0.28883482246242165,0.6054610074379694,0.2824372577816986,0.33514086090842704,False
Rwandair,39,88,0.4431818181818182,0.34393461849283435,0.5471820936281762,0.07343067870593584,0.10347050181290958,False
Onur Air,37,83,0.4457831325301205,0.34361302926830795,0.552749835632629,0.08344414157468685,0.11625925342990077,False
SA Express,17,38,0.4473684210526316,0.3014640099805125,0.6029370287800753,0.23390941743190602,0.284886141933596,False
Akasa Air,23,51,0.45098039215686275,0.32267518549374014,0.586152914496312,0.14226234783875696,0.18278061657008762,False
Air Italy,14,31,0.45161290322580644,0.2916173598052002,0.622278323626455,0.2595564563089011,0.3109661892010023,False
Transaero Airlines,24,53,0.4528301886792453,0.32657579152922234,0.5854602451289419,0.11564717695358698,0.1525558504494126,False
Aerolineas Argentinas,44,97,0.4536082474226804,0.3581919179315887,0.5525590757048393,0.03349702310204504,0.04974408221142018,True
Air Seychelles,30,66,0.45454545454545453,0.3402412549805773,0.5738498865661082,0.09238171305194892,0.12619311152805227,False
Caribbean Airlines,43,94,0.4574468085106383,0.36038954698507203,0.5578455233376127,0.030630614280668572,0.046603633997581634,True
Xiamen Airlines,46,100,0.46,0.365608083090241,0.5573513967663177,0.027065578122659834,0.04169107685974931,True
Virgin Australia,46,100,0.46,0.365608083090241,0.5573513967663177,0.027065578122659834,0.04169107685974931,True
Vietnam Airlines,46,100,0.46,0.365608083090241,0.5573513967663177,0.027065578122659834,0.04169107685974931,True
TAM Airlines,44,95,0.4631578947368421,0.3662764282064395,0.5629030873175217,0.023575710857651398,0.03724061332928374,True
Corsair,17,36,0.4722222222222222,0.31986041515179053,0.629940619770124,0.16064110108858934,0.20326016872433755,False
Meridiana,40,84,0.47619047619047616,0.37278447215607224,0.5816789434827211,0.01638197018690888,0.026728477673377646,True
Openskies,30,62,0.4838709677419355,0.36409859838245745,0.6055254039433934,0.032475606913629884,0.04851777418421814,True
Turkmenistan Airlines,15,31,0.4838709677419355,0.31970251562417307,0.651596045519712,0.13240782744316354,0.17268100704550388,False
Air Mauritius,47,97,0.4845360824742268,0.3875815952518113,0.5826687359603314,0.007419197908496363,0.012957472403571112,True
TUI Airways,36,73,0.4931506849315068,0.38170859812288216,0.6052775937669224,0.013536839806625773,0.022531115919752966,True
Loganair,16,32,0.5,0.3363088286932747,0.6636911713067253,0.09385281122424179,0.12619311152805227,False
SilkAir,50,100,0.5,0.4038315303659956,0.5961684696340044,0.002211969046288034,0.004353716853011369,True
Estonian Air,16,32,0.5,0.3363088286932747,0.6636911713067253,0.09385281122424179,0.12619311152805227,False
Sichuan Airlines,22,44,0.5,0.3583176053998939,0.6416823946001061,0.04032382023396383,0.05814132219780831,False
Shanghai Airlines,33,65,0.5076923076923077,0.3891645248727548,0.6253616054145857,0.009086625887277103,0.015758623916396652,True
AirAsia X,51,100,0.51,0.4134801193402717,0.6057800106955887,0.0010673981036130784,0.002224493526857508,True
CityJet,50,97,0.5154639175257731,0.41733126403966847,0.6124184047481886,0.0008820092951423947,0.001902072219089686,True
Iran Air,19,36,0.5277777777777778,0.37005938022987594,0.6801395848482095,0.034440180287616334,0.05084026613886221,False
PLAY,53,100,0.53,0.4328885697009936,0.6248918204065873,0.0002209284349633622,0.0005168891685935267,True
XL Airways France,38,71,0.5352112676056338,0.4203923691451584,0.6464155215452013,0.0016547017204615521,0.0033094034409231043,True
Air Austral,21,39,0.5384615384615384,0.38569448270515755,0.6843311439327215,0.017824463548153143,0.028891940914653462,True
Jet2.com,54,100,0.54,0.4426486032336822,0.6343919169097589,0.00013138320031452484,0.00031944150664708,True
Luxair,29,53,0.5471698113207547,0.4145397548710581,0.6734242084707776,0.0036265274696451045,0.006711782182626761,True
Air Nostrum,23,42,0.5476190476190477,0.3994911903473348,0.6877660676654553,0.00919680854647645,0.015838948052264996,True
Tigerair,55,100,0.55,0.4524460299744213,0.6438546202048803,5.314490970263766e-05,0.000140212102194193,True
Belavia,24,43,0.5581395348837209,0.4110761445282409,0.695666901608295,0.005967919088016373,0.010803240392905552,True
Thai AirAsia,56,99,0.5656565656565656,0.4673745665357267,0.6590335975361747,1.2001923703407875e-05,3.736600490964416e-05,True
Air Dolomiti,43,76,0.5657894736842105,0.4538575306835997,0.6713906818078295,0.00015091072021009477,0.00035986402511637984,True
Germanwings,51,90,0.5666666666666667,0.46364097523724423,0.6642342746875122,3.2268868314329215e-05,9.198482002245569e-05,True
Aurigny Air,29,51,0.5686274509803921,0.4326530210930224,0.6949876389209046,0.0017392314469715324,0.0034506351907915202,True
Singapore Airlines,57,100,0.57,0.47215389549212305,0.6626670147588988,7.707227721541662e-06,2.5149900986083317e-05,True
Comair,28,49,0.5714285714285714,0.4327049309001736,0.699766809211184,0.001539508191023785,0.0031294920604417924,True
LAN Airlines,56,98,0.5714285714285714,0.4725843630037067,0.664884209836053,9.84320833793903e-06,3.1702800880634796e-05,True
Edelweiss Air,51,89,0.5730337078651685,0.4693511637265875,0.6706724869692406,1.8260518336554266e-05,5.3912006517445934e-05,True
Air Namibia,46,80,0.575,0.46569289846568857,0.6774343821039822,4.9575313455797985e-05,0.00013220083588212796,True
La Compagnie,26,45,0.5777777777777777,0.4330078870920313,0.710312975327297,0.002503781872002675,0.004813472126020646,True
Bulgaria Air,55,95,0.5789473684210527,0.4784963648984185,0.6732618161216647,6.930284404094449e-06,2.3225818002911127e-05,True
China Airlines,58,100,0.58,0.4820648670304296,0.6720161732564526,2.779733647188865e-06,9.848199207183407e-06,True
Thomson Airways,58,100,0.58,0.4820648670304296,0.6720161732564526,2.779733647188865e-06,9.848199207183407e-06,True
Airlink,29,50,0.58,0.44233441768578224,0.7062499664528801,0.000955571397702261,0.0020429457468117305,True
Adria Airways,43,74,0.581081081081081,0.467402844507797,0.6867566507252213,7.000147271402638e-05,0.00018083713784456816,True
Hong Kong Airlines,58,99,0.5858585858585859,0.48739797796284795,0.6779050058234848,2.2192340916741797e-06,8.093677275517597e-06,True
Korean Air,59,100,0.59,0.4920143005341078,0.6813268697886348,1.4373739190486488e-06,5.320428834687537e-06,True
EVA Air,60,100,0.6,0.5020025867910618,0.6905987135675411,4.574349592946995e-07,1.955928791466991e-06,True
Regional Express,42,70,0.6,0.48293796477356277,0.7066574227443838,2.3885293145655353e-05,6.968885529555915e-05,True
